Node ID,X Position,Y Position,world_lat,world_long,type,name, sq_id, pop
1,920,1390,41.548497,23.7857489619772,hut,Пирин, 35, 0
2,690,1190,41.673886,23.428085,hut,Беговица, 28, 0
3,530,1180,41.669802,23.394216,hut, Яне Сандански, 27, 0
4,810,1160,41.672028,23.487852,node, Яловарника, 28, 0
5,940,1140,41.672357,23.507271,node, Каменица, 29, 0
6,630,1080,41.688415,23.419411,node, Спано поле, 27, 0
7,820,1050,41.700008,23.46719,node, Тевно езеро, 28, 0
8,780,1010,41.71298,23.459048,node, Превалски чукар, 28, 0
9,950,1000,41.706859,23.4984,ndoe, Дженгал, 29, 0
10,820,990,41.721346,23.477137,node, Превалски чукар, 22, 0
11,140,940,41.683297,23.291231,node, Синаница, 19, 0
12,500,920,41.710174,23.357549,node, Спано поле, 21, 0
13,1010,870,41.734061,23.524412,hut, Безбог, 23, 0
14,640,870,41.737743, 23.422821,node, Бъндерики чукар, 21, 0
15,810,840,41.742824, 23.467636,hut, Демяница, 22, 0
16,270,790,41.753787, 23.324910,node, Синаница, 20, 0
17,1090,770,41.759134, 23.547160,hut, Гоце Делчев, 24, 0
18,610,770,41.756702, 23.416513,hut, Вихрен, 21, 0
19,650,710,41.766628, 23.424516,hut, Бъндерица, 16, 0
20,540,700,41.771500, 23.396938,node, Вихрен, 15, 0
21,390,570,41.812887, 23.370789,node, Байови дупки, 14, 0
22,830,450,41.81889,23.473719,node, Банско, 10, 0
23,470,440,41.825551, 23.378034,hut, Яворов, 9, 0
24,530,340,41.840510, 23.390403,node, Яворов, 9, 0
25,310,230,41.870000, 23.344931,node, Даутов връх, 2, 0